id,name,game_slug,price,release_date,platform,description,developer,publisher,genres
b8bf369a354e4a01b01d61d750b1bc6d,KID A MNESIA EXHIBITION,kid-a-mnesia-exhibition,0,2021-11-18T16:00:00.000Z,"Windows,Mac",An upside-down digital/analogue universe created from original artwork and recordings to commemorate 21 years of Radiohead’s Kid A and Amnesiac. Coming in November 2021. Add it to your wishlist now.,,,
a85bd01b67184c4c83f03f05404e07a8,Battlefield™ 2042,battlefield-2042,5999,2021-11-19T08:00:00.000Z,Windows,"Battlefield™ 2042 marks the return to the iconic all-out warfare of the franchise. Squad up and bring a cutting-edge arsenal into massive-scale battlegrounds, set in a near-future world transformed by disorder.",,,"SHOOTER,FIRST_PERSON,MULTIPLAYER"
91468918931c44148b837e76d34bf75a,Farming Simulator 22,farming-simulator-22,4999,2021-11-22T08:00:00.000Z,,The new Farming Simulator is incoming!,,,
bb3ce2b4668b4b22aae989f4508f0b71,Total War: WARHAMMER,total-war-warhammer,5999,2021-11-22T15:00:00.000Z,"Windows,Mac","The critically-acclaimed Total War: WARHAMMER combines a turn-based campaign of epic empire-building with colossal and explosive real-time battles, set within the incredible world of Warhammer Fantasy Battles. ",CREATIVE ASSEMBLY,SEGA,"STRATEGY,ACTION"
b9229b0d1167444f87b297d2ff0827bd,Conan Exiles,conan-exiles,3999,2021-11-23T16:00:00.000Z,,"An online multiplayer survival game, now with mounts and mounted combat, set in the lands of Conan the Barbarian. Survive in a vast open world sandbox, build a home and kingdom, dominate your enemies in single or multiplayer.",Funcom,Funcom,
7b0d120a875547e9bec70192ddcc96e2,theHunter: Call of the Wild™,thehunter-call-of-the-wild,1999,2021-11-25T16:00:00.000Z,Windows,"Experience an atmospheric hunting game like no other in this realistic and visually breathtaking open world. Immerse yourself in the atmospheric single player campaign, or share the ultimate hunting experience with friends.",,,
4428655cc67645419842a5c0f7892165,Nexomon: Extinction,nexomon-extinction,1999,2021-11-30T14:00:00.000Z,Windows,"Return to classic monster-catching, complete with a unique story, eccentric characters, and over 300 unique Nexomon to capture and train. 

Join the Tamer's Guild and begin an epic journey to restore balance before all hope is lost…",,,"RPG,SINGLE_PLAYER,TURN_BASED"
8c14e25550c4425a8d6e8a58e1d88812,STORY OF SEASONS: Friends of Mineral Town,story-of-seasons-friends-of-mineral-town,3999,2021-11-30T16:00:00.000Z,,"Your farming life begins in Mineral Town, a charming village surrounded by nature. You've returned after many years to restore your late grandfather's farm to its former glory. Care for crops, livestock, and more as your very own story of seasons unfolds.",,,
3cf8c6563f644b2989fb4a77ec328c53,Quake,quake,999,2021-12-02T16:00:00.000Z,Windows,"Developed by the award-winning id Software, Quake® is the ground-breaking, original dark fantasy first-person shooter that inspires today’s retro-style FPS games. Now, experience the authentic, updated, and visually enhanced version of the original.","id Software,Nightdive Studios,MachineGames",Bethesda Softworks,"SHOOTER,ACTION,ADVENTURE"
154108003e4e4f099634188deb9a01b8,while True: learn(),while-true-learn,1299,2021-12-02T16:00:00.000Z,"Windows,Mac","You’re a machine learning specialist who makes neural networks but your cat seems to be better at it. Now you must solve puzzles to build a cat-to-human translation system. Earn a fortune, buy kickass cat outfits and learn how machine learning really works!",Luden.io,Nival,"SIMULATION,PUZZLE,PROGRAMMING"
7ff8ed2a8f1d4cbd824bb00c34116555,Solar Ash,solar-ash,3999,2021-12-02T17:00:00.000Z,Windows,The Void beckons…,Heart Machine,Annapurna Interactive,
f3389e763ab34d2880a1006164b728f3,Chorus,chorus,3999,2021-12-03T08:00:00.000Z,Windows,"She was once the Circle’s deadliest warrior – now she’s their most wanted fugitive. As Nara and her starfighter, Forsaken, journey across the galaxy to unite resistance forces against the Circle and free the universe from oppression. ",Deep Silver Fishlabs,Deep Silver,"ACTION,SINGLE_PLAYER,ADVENTURE"
80fb2028e27b489988bcd2c242b8caf0,The Captain,the-captain,1999,2021-12-03T17:00:00.000Z,"Windows,Mac",Race back home across the galaxy.  Collect new friends.  Make new enemies.  You won't be able to save everyone.  Who will you leave behind?  Which civilizations will you save - or destroy - along the way?  The decisions are up to you.  You are... The Captain!,Sysiac games,Tomorrow Corporation,"ADVENTURE,INDIE,SINGLE_PLAYER"
c7664611fa424f0a94aeb84cc0d3b542,Titan Quest Anniversary Edition,titan-quest,1999,2021-12-03T18:00:00.000Z,Windows,"For its 10 year anniversary, Titan Quest will shine in new splendour. This Anniversary Edition combines both Titan Quest and Titan Quest Immortal Throne in one game, and has been given a massive overhaul for the ultimate ARPG experience.",,,"RPG,ACTION,SINGLE_PLAYER,CO_OP,MULTIPLAYER"
749d77f03ef7418cb4b01528ec58f361,Parkitect,parkitect,2999,2021-12-06T09:00:00.000Z,"Windows,Mac OS",Parkitect is a business simulation game that charges you with the construction and management of theme parks! Bringing back the best of classic theme park games with many new features and content on top. Now supports online co-op with up to 8 players!,,,"SIMULATION,INDIE,CITY_BUILDER,SINGLE_PLAYER,CO_OP"
